"station","start","stop","deployment"
"ELOPA_26",2020-12-12 13:37:00,2020-12-30 12:00:00,"ELOPA_26"
"ELOPA_30",2020-12-12 15:50:00,2020-12-26 12:00:00,"ELOPA_30"
"ELOPA_31",2021-01-10 14:07:00,2021-02-08 12:00:00,"ELOPA_31"
"ELOPA_34",2020-12-14 09:45:00,2020-12-28 12:00:00,"ELOPA_34"
"ELOPA_39",2020-12-14 11:35:00,2021-02-07 12:00:00,"ELOPA_39"
"ELOPA_40",2020-12-14 12:00:00,2021-01-05 12:00:00,"ELOPA_40"
"ELOPA_41",2020-12-14 14:16:00,2020-12-29 12:00:00,"ELOPA_41"
"ELOPA_45",2020-12-14 12:31:00,NA,"ELOPA_45"
"ELOPA_46",2020-12-14 13:23:00,2020-12-26 12:00:00,"ELOPA_46"
"ELOPA_47",2020-12-14 13:11:00,NA,"ELOPA_47"
