"X","image_name","x","y","frame_number","sequence_id","number_of_points","DateTimeOriginal","PixelXDimension","PixelYDimension","Type","species","old_seq_id","Location_ID","name","deployment","ImageHeight","ImageWidth","Location.ID","radius","angle","frame_count","Sequence.number"
15,"EECEP_Sum2024_AK1_IMG_1849_27_03_2024_03_16_08.jpg",2096.30446379627,1032.05823709804,46,15,1,"2024:03:27 03:16:08",3712,2088,"trigger","Indian_hare",15,"AK1","Indian_hare","AK1",2088,3712,"AK1",11.9829829980285,0.0505704784903519,1,15
16,"EECEP_Sum2024_AK-10_IMG_0808_21_02_2024_11_39_13.jpg",2908.963379,1288.888889,0,10000,1,"2024:02:21 11:39:13",3712,2088,"trigger","Indian_jackal",16,"AK10","Indian_jackal","AK10",2088,3712,"AK10",13.1573499815619,0.221589150145759,1,10000
17,"EECEP_Sum2024_AK-10_IMG_0808_21_02_2024_11_39_13.jpg",2902.455456,1295.312542,0,10002,9,"2024:02:21 11:39:13",3712,2088,"Movement","Indian_jackal",17,"AK10","Indian_jackal","AK10",2088,3712,"AK10",12.8428963539497,0.220219600970978,1,10002
18,"EECEP_Sum2024_AK-10_IMG_0809_21_02_2024_11_39_13.jpg",2641.053392,1312.974843,1,10002,9,"2024:02:21 11:39:13",3712,2088,"Movement","Indian_jackal",17,"AK10","Indian_jackal","AK10",2088,3712,"AK10",12.2102455427805,0.165209272631623,1,10002
19,"EECEP_Sum2024_AK-10_IMG_0810_21_02_2024_11_39_14.jpg",2369.053948,1323.572224,2,10002,9,"2024:02:21 11:39:14",3712,2088,"Movement","Indian_jackal",17,"AK10","Indian_jackal","AK10",2088,3712,"AK10",11.9321467708825,0.107968796050833,1,10002
20,"EECEP_Sum2024_AK-10_IMG_0811_21_02_2024_11_39_14.jpg",2280.74244,1312.974843,3,10002,9,"2024:02:21 11:39:14",3712,2088,"Movement","Indian_jackal",17,"AK10","Indian_jackal","AK10",2088,3712,"AK10",12.4537728829875,0.0893842256886657,1,10002
21,"EECEP_Sum2024_AK-10_IMG_0812_21_02_2024_11_39_14.jpg",2252.482757,1309.442383,4,10002,9,"2024:02:21 11:39:14",3712,2088,"Movement","Indian_jackal",17,"AK10","Indian_jackal","AK10",2088,3712,"AK10",12.6370971202433,0.0834371630801773,1,10002
22,"EECEP_Sum2024_AK-10_IMG_0813_21_02_2024_12_52_58.jpg",2185.366011,1309.442383,5,10002,9,"2024:02:21 12:52:58",3712,2088,"Movement","Indian_jackal",17,"AK10","Indian_jackal","AK10",2088,3712,"AK10",12.6849172530402,0.069312889621766,1,10002
23,"EECEP_Sum2024_AK-10_IMG_0814_21_02_2024_12_52_58.jpg",1383.497573,1334.169605,6,10002,9,"2024:02:21 12:52:58",3712,2088,"Movement","Indian_jackal",17,"AK10","Indian_jackal","AK10",2088,3712,"AK10",12.1146874814519,-0.0994349977680834,1,10002
24,"EECEP_Sum2024_AK-10_IMG_0815_21_02_2024_12_52_59.jpg",701.7327864,1365.961748,7,10002,9,"2024:02:21 12:52:59",3712,2088,"Movement","Indian_jackal",17,"AK10","Indian_jackal","AK10",2088,3712,"AK10",11.25271955246,-0.242907869355955,1,10002
25,"EECEP_Sum2024_AK-10_IMG_0816_21_02_2024_12_52_59.jpg",263.7077072,1390.68897,8,10002,9,"2024:02:21 12:52:59",3712,2088,"Movement","Indian_jackal",17,"AK10","Indian_jackal","AK10",2088,3712,"AK10",10.6162476555873,-0.33508733825129,1,10002
26,"EECEP_Sum2024_AK-10_IMG_0816_21_02_2024_12_52_59.jpg",253.1103262,1422.481113,8,10004,1,"2024:02:21 12:52:59",3712,2088,"trigger","Indian_jackal",18,"AK10","Indian_jackal","AK10",2088,3712,"AK10",9.66170793939421,-0.337317486703168,1,10004
74,"EECEP_Sum2024_AK-10_IMG_2628_23_03_2024_09_55_48.jpg",3138.755822,1727.362163,200,62,1,"2024:03:23 09:55:48",3712,2088,"trigger","Hog_deer",62,"AK10","Hog_deer","AK10",2088,3712,"AK10",4.85382441064667,0.269947443672212,1,62
75,"EECEP_Sum2024_AK-10_IMG_2636_23_03_2024_09_55_54.jpg",1523.19424,1880.932656,208,63,1,"2024:03:23 09:55:54",3712,2088,"trigger","Hog_deer",63,"AK10","Hog_deer","AK10",2088,3712,"AK10",4.09797876951592,-0.0700367619546752,1,63
76,"EECEP_Sum2024_AK-10_IMG_2644_23_03_2024_09_56_07.jpg",1722.258981,1949.869523,216,64,1,"2024:03:23 09:56:07",3712,2088,"trigger","Hog_deer",64,"AK10","Hog_deer","AK10",2088,3712,"AK10",3.77089952713338,-0.0281449092445957,1,64
77,"EECEP_Sum2024_AK-10_IMG_2652_23_03_2024_09_56_12.jpg",2269.22005,2063.594102,224,65,1,"2024:03:23 09:56:12",3712,2088,"trigger","Hog_deer",65,"AK10","Hog_deer","AK10",2088,3712,"AK10",3.32140378041905,0.0869594152359292,1,65
78,"EECEP_Sum2024_AK-10_IMG_2660_23_03_2024_09_56_36.jpg",2323.374611,2150.2414,232,66,1,"2024:03:23 09:56:36",3712,2088,"trigger","Hog_deer",66,"AK10","Hog_deer","AK10",2088,3712,"AK10",3.05988370318453,0.0983558829458539,1,66
79,"EECEP_Sum2024_AK-10_IMG_2668_23_03_2024_09_57_00.jpg",2431.683734,2475.168768,240,67,1,"2024:03:23 09:57:00",3712,2088,"trigger","Hog_deer",67,"AK10","Hog_deer","AK10",2088,3712,"AK10",2.36471095149003,0.121148818576147,1,67
80,"EECEP_Sum2024_AK-10_IMG_2676_23_03_2024_09_57_13.jpg",2480.422839,2448.091487,248,68,1,"2024:03:23 09:57:13",3712,2088,"trigger","Hog_deer",68,"AK10","Hog_deer","AK10",2088,3712,"AK10",2.4088539284445,0.131405639536123,1,68
81,"EECEP_Sum2024_AK-10_IMG_2684_23_03_2024_09_57_25.jpg",2442.514646,2480.584224,256,69,1,"2024:03:23 09:57:25",3712,2088,"trigger","Hog_deer",69,"AK10","Hog_deer","AK10",2088,3712,"AK10",2.35556816008005,0.123428112076043,1,69
