"","station","effort.days","Buffalo","Cow"
"1","AK1",60.8902777777778,41,0
"2","AK10",59.8166666666667,80,2
"3","AK12",61.0027777777778,42,2
"4","AK14",51.8986111111111,2,1
"5","AK15",60.8583333333333,38,0
"6","AK17",62.0534722222222,41,50
"7","AK18",63.7458333333333,2,77
"8","AK19",48.0152777777778,15,0
"9","AK2",62.8194444444444,103,46
"10","AK20",44.9583333333333,1,0
"11","AK21",55.0347222222222,62,2
"12","AK22",58.7708333333333,3,15
"13","AK23",63.8131944444444,0,424
"14","AK25",64.0097222222222,1,0
"15","AK26",55.0590277777778,68,0
"16","AK28",62.7916666666667,2,115
"17","AK29",40.0909722222222,8,3
"18","AK3",60.9097222222222,8,0
"19","AK30",26.1118055555556,5,5
"20","AK31",63.1319444444444,18,2
"21","AK4",62.8361111111111,31,0
"22","AK5",39.9263888888889,13,7
"23","AK6",32.8493055555556,18,27
"24","AK8",62.7993055555556,6,0
"25","AK9",33.875,27,2
