species,meanspeed.x,sespeed.x,speedsamplesize.x,effectiveradius.x,radiusse.x,effectiveangle.x,anglese.x,bestradiusmodel.x,bestanglemodel.x,Density,Density.se,radiussamplesize,anglesamplesize,activitylevel,activityse,activitysamplesize,Year,,,,,,,,,,,,,,,,,,,,,,,,
Hogdeer_seperate_activity,0.248961876,0.055711485,23,5.622107265,0.243552907,0.347667264,0.018604206,hn,hr,1.01456501,0.501511395,187,187,0.70102775,0.135933003,8,2021,,,,,,,,,,,,,,,,,,,,,,,,
Hogdeer_seperate_activity,0.248961876,0.055711485,23,5.622107265,0.234672268,0.347667264,0.018573922,hn,hr,3.105645115,1.18203783,187,187,0.414246366,0.05347898,106,2024,,,,,,,,,,,,,,,,,,,,,,,,
Indianhare,0.244770972,0.080653093,8,9.951218805,0.666677558,0.140379176,0.053725781,hr,hr,1.136341967,0.67602813,51,51,0.318783986,0.070423556,6,2021,,,,,,,,,,,,,,,,,,,,,,,,
Indianhare,0.244770972,0.080653093,8,9.951218805,0.649333465,0.140379176,0.050686518,hr,hr,3.420355481,1.632252122,51,51,0.325309227,0.043505835,135,2024,,,,,,,,,,,,,,,,,,,,,,,,
Indianjackal,0.429795338,0.130435927,10,9.644109212,0.890186068,0.236654559,0.065294857,hn,hr,0.215978261,0.139438575,49,49,0.454442301,0.160159533,3,2021,,,,,,,,,,,,,,,,,,,,,,,,
Indianjackal,0.429795338,0.130435927,10,9.644109212,0.934558011,0.279196354,0.034742791,hn,hn,0.229658492,0.107595767,49,49,0.470019406,0.088663533,25,2024,,,,,,,,,,,,,,,,,,,,,,,,
Sambar_seperate_activity,0.486331185,0.125056315,8,6.331929697,0.616703515,0.495572218,0.025806488,hr,hr,3.391812735,4.216608692,101,101,0.042942991,0.014504995,4,2021,,,,,,,,,,,,,,,,,,,,,,,,
Sambar_seperate_activity,0.486331185,0.125056315,8,6.331929697,0.648372987,0.495572218,0.02569212,hr,hr,0.20030366,0.107746114,101,101,0.446711724,0.085325416,18,2024,,,,,,,,,,,,,,,,,,,,,,,,
Hog_deer_combined_activity,0.248961876,0.055711485,23,6.138820555,0.320689707,0.347667264,0.018472656,hr,hr,1.450228414,0.692049671,187,187,0.449151515,0.04686831,114,2021,,,,,,,,,,,,,,,,,,,,,,,,
Hog_deer_combined_activity,0.248961876,0.055711485,23,6.138820555,0.338639157,0.347667264,0.0186704,hr,hr,2.62320272,0.990685187,187,187,0.449151515,0.051608789,114,2024,,,,,,,,,,,,,,,,,,,,,,,,
Sambar_combined_activity,0.486331185,0.125056315,8,6.331929697,0.616230407,0.495572218,0.025988896,hr,hr,0.335776082,0.403161113,101,101,0.43378487,0.06589663,22,2021,,,,,,,,,,,,,,,,,,,,,,,,
Sambar_combined_activity,0.486331185,0.125056315,8,6.331929697,0.615438992,0.495572218,0.025827095,hr,hr,0.20627274,0.109971758,101,101,0.43378487,0.073557884,22,2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032186522,0.073863042,,hr,2021,hr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236464964,0.541226383,,hr,2024,hr
